               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  69,            0.079615,            0.010112,            0.043873,             0.43656,             0.46867,             0.41645,              0.2821,            0.069648,           0.0078437,            0.038909,           0.0076679,           0.0076679,           0.0076679
                  70,            0.080054,            0.010172,            0.043779,             0.42787,             0.48129,             0.41992,             0.28568,            0.069615,           0.0078471,            0.038731,           0.0076057,           0.0076057,           0.0076057
                  71,            0.079455,            0.010078,            0.044281,             0.46183,             0.44307,             0.42404,             0.29105,             0.06946,            0.007816,            0.038525,            0.007543,            0.007543,            0.007543
                  72,            0.079762,            0.010025,            0.043785,             0.44943,             0.44575,             0.42001,             0.28704,            0.069263,           0.0078164,            0.038524,           0.0074797,           0.0074797,           0.0074797
                  73,            0.079797,            0.010004,             0.04362,             0.41107,             0.46398,             0.42209,             0.28915,            0.069021,           0.0077825,            0.038273,            0.007416,            0.007416,            0.007416
                  74,            0.078959,            0.010112,            0.043854,             0.42736,             0.46265,             0.42561,             0.28924,            0.068924,           0.0077722,            0.038289,           0.0073518,           0.0073518,           0.0073518
                  75,            0.078972,           0.0099206,            0.043404,             0.42053,              0.4727,             0.42333,             0.28733,            0.069082,           0.0077523,            0.038209,           0.0072872,           0.0072872,           0.0072872
                  76,            0.079246,           0.0099977,            0.043625,             0.40912,             0.46437,             0.42572,             0.28914,            0.069006,           0.0077256,            0.038038,           0.0072221,           0.0072221,           0.0072221
                  77,            0.080154,            0.010263,            0.043269,              0.4381,             0.47322,             0.42625,             0.29137,            0.068898,           0.0077408,            0.037945,           0.0071566,           0.0071566,           0.0071566
                  78,            0.079107,             0.01001,            0.042846,             0.45301,             0.46828,             0.42399,             0.28976,            0.068775,           0.0077339,            0.037951,           0.0070906,           0.0070906,           0.0070906
                  79,             0.07894,            0.010053,            0.043602,              0.4778,             0.45901,             0.43008,              0.2953,            0.068581,           0.0076842,            0.037804,           0.0070243,           0.0070243,           0.0070243
                  80,            0.078685,           0.0099863,            0.042795,             0.47569,             0.45552,             0.43834,             0.30202,            0.068513,           0.0077267,            0.037621,           0.0069576,           0.0069576,           0.0069576
                  81,            0.078742,           0.0098765,             0.04273,             0.50806,             0.44117,             0.44082,             0.30079,            0.068542,           0.0077209,            0.037609,           0.0068906,           0.0068906,           0.0068906
                  82,            0.078722,            0.010055,             0.04273,             0.51689,             0.44694,              0.4387,             0.29961,            0.068465,           0.0077173,            0.037633,           0.0068232,           0.0068232,           0.0068232
                  83,            0.078867,            0.010019,            0.042296,             0.49689,             0.46014,             0.44075,             0.30333,            0.068407,           0.0076636,              0.0376,           0.0067555,           0.0067555,           0.0067555
                  84,            0.078295,           0.0098683,            0.042141,              0.4797,             0.45355,             0.44349,             0.30467,            0.068296,           0.0076682,            0.037478,           0.0066874,           0.0066874,           0.0066874
                  85,            0.077724,           0.0098957,            0.042257,             0.50821,             0.44476,             0.44569,              0.3066,            0.068193,           0.0076434,            0.037451,           0.0066191,           0.0066191,           0.0066191
                  86,            0.077445,           0.0098536,            0.042118,             0.41165,             0.47987,             0.44651,             0.30689,            0.068086,           0.0076419,            0.037342,           0.0065505,           0.0065505,           0.0065505
                  87,            0.077776,           0.0098297,            0.041746,             0.45159,             0.47555,             0.45225,             0.31232,            0.067996,           0.0076679,            0.037251,           0.0064816,           0.0064816,           0.0064816
                  88,             0.07761,           0.0098031,            0.041536,             0.47561,              0.4619,              0.4533,             0.31522,            0.067942,           0.0076594,            0.037144,           0.0064125,           0.0064125,           0.0064125
                  89,            0.077297,           0.0098726,            0.041747,             0.46293,             0.47104,             0.45538,             0.31701,            0.067874,           0.0076544,            0.037056,           0.0063432,           0.0063432,           0.0063432
                  90,            0.077458,           0.0096643,            0.041445,             0.42802,             0.47891,             0.45828,             0.31761,            0.067844,           0.0076477,            0.036963,           0.0062737,           0.0062737,           0.0062737
                  91,            0.077345,           0.0099576,            0.041661,             0.45203,             0.47355,             0.45991,             0.31974,            0.067794,           0.0076398,            0.036861,            0.006204,            0.006204,            0.006204
                  92,            0.076472,           0.0098029,            0.041204,             0.48865,             0.46141,             0.45909,             0.31844,            0.067756,           0.0076271,            0.036793,           0.0061341,           0.0061341,           0.0061341
                  93,            0.077808,           0.0099562,            0.041993,             0.46301,             0.48931,             0.45698,              0.3174,            0.067782,           0.0076166,            0.036895,            0.006064,            0.006064,            0.006064
                  94,            0.077407,           0.0097799,            0.041157,             0.38978,             0.50716,             0.45533,             0.31715,            0.067709,           0.0076271,            0.036843,           0.0059938,           0.0059938,           0.0059938
                  95,            0.076984,           0.0097508,            0.040842,             0.43615,             0.49107,             0.45816,             0.31951,            0.067611,           0.0076182,            0.036719,           0.0059235,           0.0059235,           0.0059235
